Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.6219922974778
FDW14,OUT017,1373.9083795610968
NCN55,OUT010,3596.000380225836
FDQ58,OUT017,2541.7200402104536
FDY38,OUT027,3581.55047059571
FDH56,OUT046,1853.2494058297561
FDL48,OUT018,501.1387602461982
FDC48,OUT027,1655.2317651219382
FDN33,OUT045,1200.4902197132506
FDA36,OUT017,3090.942937804575
FDT44,OUT017,1515.3115836541074
FDQ56,OUT045,1116.7260150557595
NCC54,OUT019,3440.2937532571777
FDU11,OUT049,1804.2307703570586
DRL59,OUT013,1126.3847844669326
FDM24,OUT049,2314.7579215558035
FDI57,OUT045,3045.570973556725
DRC12,OUT018,2931.8889238795273
NCM42,OUT027,2046.2255629498504
FDA46,OUT010,2410.151206276405
FDA31,OUT013,2700.718521526105
NCJ31,OUT035,3081.993155131433
FDG52,OUT046,738.6711438747407
NCL19,OUT019,2559.640632178096
FDS10,OUT035,2825.9727358735836
FDX22,OUT010,3414.287994496448
NCF19,OUT035,782.6696653177933
NCE06,OUT046,2441.7553192807864
DRC27,OUT046,3848.073115834406
FDE21,OUT035,1915.8726221761426
NCR42,OUT019,656.4287565586201
FDX51,OUT018,3094.427689162556
NCR06,OUT018,764.2133751155307
FDU31,OUT027,3749.1057860627698
FDU59,OUT017,2324.9034218679226
FDR03,OUT027,3624.8148451999514
FDS49,OUT027,1357.9359168224146
FDD48,OUT010,1847.6554567966814
NCF18,OUT017,2721.8565528340187
NCD43,OUT027,2003.406220218203
NCD54,OUT018,2190.4144596165243
FDY19,OUT010,1749.7086830978078
NCY54,OUT017,2090.1965261512414
NCL19,OUT018,2307.2172621477184
FDP23,OUT010,3439.6542174740935
FDC26,OUT013,1627.4821682995535
FDR14,OUT010,-160.40440133527954
NCS41,OUT035,2819.343023489786
FDF41,OUT035,3484.4897815421464
FDU34,OUT046,1874.0525931287775
DRH11,OUT046,883.5056630652471
FDM03,OUT013,1542.6784116979688
FDS31,OUT017,2782.696360962629
FDJ20,OUT017,1566.8347146915257
FDV44,OUT027,3228.619075607774
FDG02,OUT049,3194.690177405926
FDA09,OUT013,3235.779938138563
FDT04,OUT013,521.5688430185473
FDL58,OUT019,3984.041385704637
FDE52,OUT045,1513.0901312319365
FDW12,OUT035,2326.4677348933765
FDL51,OUT017,3254.187587000495
NCY42,OUT027,2600.049919014087
FDR07,OUT017,1266.5986461654793
FDN40,OUT045,2259.1217057053764
FDB35,OUT027,1580.827020433455
FDA22,OUT017,2394.144082789917
NCL06,OUT046,4059.124878938459
FDI35,OUT013,3069.9286062102365
NCW42,OUT045,3392.106393266484
NCX06,OUT049,2982.151062414763
FDC37,OUT027,2002.2991607337754
FDZ14,OUT018,1855.0215774768512
DRG49,OUT049,3821.1917617674117
NCG06,OUT045,4075.371660600209
DRC36,OUT045,2734.555081212009
FDV21,OUT019,1053.0140688844149
FDB53,OUT046,1981.7132905853068
DRP47,OUT019,3287.532153331158
FDA14,OUT013,2385.9079227196053
DRC24,OUT035,2442.892175307261
FDW21,OUT018,1718.6156251330794
NCH29,OUT046,1702.1336718873863
FDU58,OUT013,3284.186626137278
FDY27,OUT017,2824.4535999903565
FDV56,OUT035,1820.6666075999274
FDT59,OUT046,3819.779980634834
FDB23,OUT046,3755.5190619046552
FDR49,OUT045,340.1484820932783
FDB03,OUT010,2846.939716650093
FDN39,OUT045,2778.5229332226336
FDX02,OUT027,3688.5972905754206
FDQ16,OUT027,1956.012514835722
FDU35,OUT018,1360.59595085587
NCT29,OUT013,2051.165660171675
FDZ27,OUT046,997.58457251246
FDN57,OUT017,2072.7858749084444
